Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-22,01:00:00,1.35646,1.35701,1.35559,1.3564,0,0
2015-04-22,02:00:00,1.35638,1.35795,1.35628,1.35767,0,0
2015-04-22,03:00:00,1.35765,1.35795,1.3556,1.35581,0,0
2015-04-22,04:00:00,1.35581,1.35632,1.3473,1.34823,0,0
2015-04-22,05:00:00,1.34836,1.34903,1.34713,1.34824,0,0
2015-04-22,06:00:00,1.34822,1.34986,1.34815,1.34883,0,0
2015-04-22,07:00:00,1.34896,1.34961,1.34742,1.34827,0,0
2015-04-22,08:00:00,1.34824,1.34891,1.34759,1.34872,0,0
2015-04-22,09:00:00,1.34859,1.34981,1.34713,1.34969,0,0
2015-04-22,10:00:00,1.34967,1.35005,1.34546,1.34679,0,0
2015-04-22,11:00:00,1.34679,1.34996,1.34636,1.34772,0,0
2015-04-22,12:00:00,1.34762,1.34914,1.34698,1.34728,0,0
2015-04-22,13:00:00,1.34729,1.34791,1.34422,1.34436,0,0
2015-04-22,14:00:00,1.34458,1.34485,1.34206,1.34316,0,0
2015-04-22,15:00:00,1.34316,1.34328,1.32966,1.33407,0,0
2015-04-22,16:00:00,1.33423,1.3369,1.33382,1.33661,0,0
2015-04-22,17:00:00,1.33678,1.33857,1.33394,1.33415,0,0
2015-04-22,18:00:00,1.33415,1.33471,1.33039,1.33161,0,0
2015-04-22,19:00:00,1.33164,1.33186,1.33034,1.33097,0,0
2015-04-22,20:00:00,1.33106,1.33109,1.32827,1.32846,0,0
2015-04-22,21:00:00,1.32842,1.32974,1.32671,1.32671,0,0
2015-04-22,22:00:00,1.32673,1.32839,1.32606,1.32774,0,0
2015-04-22,23:00:00,1.32774,1.32826,1.32647,1.32706,0,0
2015-04-22,23:59:00,1.32706,1.33035,1.32697,1.32934,0,0
2015-04-23,01:00:00,1.32929,1.33191,1.32906,1.33084,0,0
2015-04-23,02:00:00,1.33086,1.33152,1.33039,1.33097,0,0
2015-04-23,03:00:00,1.33115,1.33294,1.33038,1.33071,0,0
2015-04-23,04:00:00,1.33101,1.33302,1.32979,1.3318,0,0
2015-04-23,05:00:00,1.3318,1.33377,1.3308,1.33284,0,0
2015-04-23,06:00:00,1.33297,1.33308,1.33062,1.33117,0,0
2015-04-23,07:00:00,1.33117,1.33142,1.32819,1.32836,0,0
2015-04-23,08:00:00,1.32836,1.33128,1.3283,1.33128,0,0
2015-04-23,09:00:00,1.33128,1.33605,1.33038,1.33564,0,0
2015-04-23,10:00:00,1.33552,1.3373,1.3329,1.33326,0,0
2015-04-23,11:00:00,1.33326,1.33794,1.33261,1.33745,0,0
2015-04-23,12:00:00,1.33741,1.34422,1.33688,1.34403,0,0
2015-04-23,13:00:00,1.34368,1.34596,1.34134,1.34192,0,0
2015-04-23,14:00:00,1.34184,1.34193,1.33852,1.3412,0,0
