Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-22,01:00:00,1.93471,1.93528,1.93356,1.93441,0,0
2015-04-22,02:00:00,1.93441,1.93619,1.93422,1.9358,0,0
2015-04-22,03:00:00,1.9358,1.9363,1.93344,1.93363,0,0
2015-04-22,04:00:00,1.9336,1.93458,1.92071,1.92298,0,0
2015-04-22,05:00:00,1.92283,1.92391,1.9218,1.92355,0,0
2015-04-22,06:00:00,1.92361,1.9249,1.92299,1.92429,0,0
2015-04-22,07:00:00,1.92444,1.92486,1.92217,1.92267,0,0
2015-04-22,08:00:00,1.92267,1.92378,1.9218,1.92337,0,0
2015-04-22,09:00:00,1.92356,1.92382,1.92025,1.92182,0,0
2015-04-22,10:00:00,1.92166,1.92368,1.92108,1.92244,0,0
2015-04-22,11:00:00,1.92241,1.92576,1.92047,1.92311,0,0
2015-04-22,12:00:00,1.92315,1.92921,1.92306,1.92722,0,0
2015-04-22,13:00:00,1.92722,1.9298,1.92653,1.92971,0,0
2015-04-22,14:00:00,1.92954,1.93641,1.92939,1.93596,0,0
2015-04-22,15:00:00,1.93603,1.93706,1.93345,1.93496,0,0
2015-04-22,16:00:00,1.93492,1.93754,1.93428,1.93524,0,0
2015-04-22,17:00:00,1.93522,1.93839,1.93506,1.93716,0,0
2015-04-22,18:00:00,1.93726,1.9396,1.93352,1.93353,0,0
2015-04-22,19:00:00,1.93353,1.93519,1.93339,1.93444,0,0
2015-04-22,20:00:00,1.93431,1.93529,1.9337,1.93466,0,0
2015-04-22,21:00:00,1.93472,1.93708,1.9347,1.93581,0,0
2015-04-22,22:00:00,1.93576,1.93755,1.93547,1.93706,0,0
2015-04-22,23:00:00,1.93709,1.94049,1.93685,1.9388,0,0
2015-04-22,23:59:00,1.93879,1.94104,1.93809,1.94025,0,0
2015-04-23,01:00:00,1.94027,1.9418,1.94016,1.94119,0,0
2015-04-23,02:00:00,1.94119,1.94138,1.93897,1.94107,0,0
2015-04-23,03:00:00,1.94118,1.94551,1.94068,1.94315,0,0
