Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-22,01:00:00,1.42629,1.42674,1.42572,1.42616,0,0
2015-04-22,02:00:00,1.42616,1.42637,1.42562,1.42585,0,0
2015-04-22,03:00:00,1.42582,1.42641,1.42564,1.42617,0,0
2015-04-22,04:00:00,1.42614,1.42655,1.42508,1.42616,0,0
2015-04-22,05:00:00,1.42616,1.4269,1.42563,1.42673,0,0
2015-04-22,06:00:00,1.42677,1.42679,1.42598,1.4265,0,0
2015-04-22,07:00:00,1.4265,1.42672,1.42586,1.42605,0,0
2015-04-22,08:00:00,1.42604,1.42677,1.42569,1.42621,0,0
2015-04-22,09:00:00,1.4263,1.42704,1.42369,1.42392,0,0
2015-04-22,10:00:00,1.42381,1.42858,1.42358,1.42742,0,0
2015-04-22,11:00:00,1.42743,1.42765,1.42388,1.42704,0,0
2015-04-22,12:00:00,1.42723,1.43111,1.42682,1.43044,0,0
2015-04-22,13:00:00,1.43044,1.43557,1.42999,1.43518,0,0
2015-04-22,14:00:00,1.43539,1.44146,1.43528,1.44135,0,0
2015-04-22,15:00:00,1.44139,1.45439,1.44125,1.45025,0,0
2015-04-22,16:00:00,1.45027,1.45128,1.44762,1.44769,0,0
2015-04-22,17:00:00,1.4472,1.4521,1.44698,1.45198,0,0
2015-04-22,18:00:00,1.45214,1.45623,1.45187,1.45199,0,0
2015-04-22,19:00:00,1.45199,1.454,1.45179,1.4533,0,0
2015-04-22,20:00:00,1.45321,1.45643,1.45309,1.45636,0,0
2015-04-22,21:00:00,1.45645,1.45917,1.45582,1.45909,0,0
2015-04-22,22:00:00,1.45898,1.46027,1.45758,1.45891,0,0
2015-04-22,23:00:00,1.45905,1.46105,1.45875,1.46097,0,0
2015-04-22,23:59:00,1.46087,1.46108,1.45866,1.45964,0,0
2015-04-23,01:00:00,1.45963,1.45992,1.45736,1.4586,0,0
2015-04-23,02:00:00,1.45844,1.45866,1.457,1.45819,0,0
2015-04-23,03:00:00,1.45805,1.46008,1.45724,1.45991,0,0
2015-04-23,04:00:00,1.45994,1.46019,1.4585,1.45869,0,0
2015-04-23,05:00:00,1.45865,1.45905,1.45779,1.45792,0,0
2015-04-23,06:00:00,1.45794,1.45858,1.45726,1.45726,0,0
2015-04-23,07:00:00,1.45725,1.45878,1.45717,1.45834,0,0
2015-04-23,08:00:00,1.45835,1.45847,1.45696,1.45723,0,0
2015-04-23,09:00:00,1.45735,1.45778,1.45255,1.453,0,0
2015-04-23,10:00:00,1.45314,1.45416,1.45078,1.45359,0,0
2015-04-23,11:00:00,1.45363,1.45393,1.44693,1.44978,0,0
2015-04-23,12:00:00,1.44989,1.45111,1.44559,1.44559,0,0
2015-04-23,13:00:00,1.44565,1.44836,1.44488,1.44815,0,0
2015-04-23,14:00:00,1.44821,1.45071,1.44742,1.44912,0,0
2015-04-23,15:00:00,1.44926,1.44934,1.44567,1.44567,0,0
2015-04-23,16:00:00,1.44572,1.44664,1.44401,1.44479,0,0
2015-04-23,17:00:00,1.44485,1.44723,1.43737,1.43792,0,0
2015-04-23,18:00:00,1.43817,1.4388,1.43619,1.43732,0,0
2015-04-23,19:00:00,1.43721,1.43866,1.43598,1.43629,0,0
2015-04-23,20:00:00,1.43632,1.43741,1.4357,1.43651,0,0
2015-04-23,21:00:00,1.43669,1.43753,1.43604,1.43731,0,0
2015-04-23,22:00:00,1.43744,1.4379,1.43643,1.4368,0,0
2015-04-23,23:00:00,1.43676,1.43816,1.43647,1.43739,0,0
2015-04-23,23:59:00,1.4372,1.43747,1.43652,1.43714,0,0
2015-04-24,01:00:00,1.43714,1.43866,1.43691,1.43857,0,0
2015-04-24,02:00:00,1.43856,1.4386,1.4374,1.43854,0,0
2015-04-24,03:00:00,1.43878,1.4389,1.43715,1.43719,0,0
2015-04-24,04:00:00,1.43721,1.43809,1.43639,1.43724,0,0
2015-04-24,05:00:00,1.43739,1.43879,1.43733,1.43827,0,0
2015-04-24,06:00:00,1.43827,1.43922,1.43731,1.43848,0,0
2015-04-24,07:00:00,1.43859,1.4397,1.43842,1.43918,0,0
2015-04-24,08:00:00,1.43913,1.44004,1.43875,1.43988,0,0
2015-04-24,09:00:00,1.43988,1.4415,1.43636,1.44127,0,0
2015-04-24,10:00:00,1.44143,1.44303,1.44017,1.44277,0,0
2015-04-24,11:00:00,1.44269,1.44307,1.43925,1.44273,0,0
2015-04-24,12:00:00,1.44272,1.44361,1.44026,1.44273,0,0
2015-04-24,13:00:00,1.44277,1.44439,1.44178,1.44378,0,0
2015-04-24,14:00:00,1.44362,1.4448,1.4424,1.44297,0,0
2015-04-24,15:00:00,1.44292,1.44736,1.44238,1.44602,0,0
2015-04-24,16:00:00,1.44607,1.44658,1.44275,1.44425,0,0
2015-04-24,17:00:00,1.44432,1.4459,1.44312,1.44533,0,0
2015-04-24,18:00:00,1.44536,1.4478,1.44458,1.4466,0,0
2015-04-24,19:00:00,1.44651,1.44909,1.44651,1.44902,0,0
2015-04-24,20:00:00,1.44904,1.44945,1.44718,1.44718,0,0
2015-04-24,21:00:00,1.44723,1.4481,1.44658,1.44763,0,0
2015-04-24,22:00:00,1.44768,1.44784,1.44656,1.44767,0,0
2015-04-24,23:00:00,1.4477,1.44776,1.44751,1.44759,0,0
2015-04-27,01:00:00,1.44834,1.44853,1.44705,1.44769,0,0
2015-04-27,02:00:00,1.44769,1.4481,1.44681,1.44717,0,0
2015-04-27,03:00:00,1.44719,1.44807,1.44668,1.44774,0,0
2015-04-27,04:00:00,1.44772,1.44809,1.44666,1.44749,0,0
2015-04-27,05:00:00,1.4475,1.44898,1.4475,1.4486,0,0
2015-04-27,06:00:00,1.4486,1.44939,1.44825,1.44858,0,0
2015-04-27,07:00:00,1.44858,1.45011,1.44851,1.44959,0,0
2015-04-27,08:00:00,1.44959,1.4496,1.44685,1.44697,0,0
2015-04-27,09:00:00,1.44712,1.45001,1.44674,1.44907,0,0
2015-04-27,10:00:00,1.44912,1.45193,1.44777,1.44826,0,0
2015-04-27,11:00:00,1.44831,1.44882,1.44748,1.44794,0,0
2015-04-27,12:00:00,1.44796,1.44798,1.44634,1.44646,0,0
2015-04-27,13:00:00,1.44629,1.44807,1.44598,1.44598,0,0
2015-04-27,14:00:00,1.44591,1.44779,1.44529,1.44726,0,0
2015-04-27,15:00:00,1.44721,1.44866,1.44651,1.4484,0,0
2015-04-27,16:00:00,1.44837,1.44988,1.4474,1.44898,0,0
2015-04-27,17:00:00,1.44901,1.45101,1.44822,1.4495,0,0
2015-04-27,18:00:00,1.44953,1.45294,1.44642,1.45266,0,0
2015-04-27,19:00:00,1.45243,1.45299,1.45011,1.45101,0,0
2015-04-27,20:00:00,1.45103,1.45619,1.45034,1.45579,0,0
2015-04-27,21:00:00,1.45564,1.45644,1.45443,1.45526,0,0
2015-04-27,22:00:00,1.45531,1.4561,1.45506,1.4561,0,0
2015-04-27,23:00:00,1.45608,1.45669,1.4547,1.4551,0,0
2015-04-27,23:59:00,1.45507,1.45643,1.45447,1.4551,0,0
2015-04-28,01:00:00,1.45502,1.45589,1.45414,1.45484,0,0
2015-04-28,02:00:00,1.45489,1.45514,1.45401,1.45423,0,0
2015-04-28,03:00:00,1.45421,1.45517,1.45394,1.45466,0,0
2015-04-28,04:00:00,1.45464,1.45465,1.45353,1.4541,0,0
2015-04-28,05:00:00,1.45416,1.45461,1.45398,1.45438,0,0
2015-04-28,06:00:00,1.45437,1.45444,1.45343,1.45377,0,0
2015-04-28,07:00:00,1.45366,1.45504,1.45349,1.45498,0,0
2015-04-28,08:00:00,1.45498,1.45508,1.45385,1.45441,0,0
2015-04-28,09:00:00,1.45438,1.45685,1.4539,1.45637,0,0
2015-04-28,10:00:00,1.45638,1.45752,1.45542,1.45752,0,0
2015-04-28,11:00:00,1.45745,1.45843,1.45171,1.4545,0,0
2015-04-28,12:00:00,1.45445,1.46127,1.45396,1.46067,0,0
2015-04-28,13:00:00,1.46067,1.46605,1.45998,1.46129,0,0
2015-04-28,14:00:00,1.46125,1.46466,1.46007,1.46239,0,0
2015-04-28,15:00:00,1.46244,1.46488,1.46241,1.46422,0,0
2015-04-28,16:00:00,1.46412,1.46655,1.46411,1.46423,0,0
2015-04-28,17:00:00,1.46384,1.46437,1.45673,1.45698,0,0
2015-04-28,18:00:00,1.45687,1.46278,1.45649,1.46193,0,0
2015-04-28,19:00:00,1.46205,1.46323,1.46152,1.46275,0,0
2015-04-28,20:00:00,1.46277,1.46347,1.46168,1.4621,0,0
2015-04-28,21:00:00,1.4621,1.46361,1.46159,1.46361,0,0
2015-04-28,22:00:00,1.46368,1.46612,1.46326,1.46536,0,0
2015-04-28,23:00:00,1.46526,1.46676,1.46493,1.46579,0,0
2015-04-28,23:59:00,1.46528,1.46641,1.46463,1.4653,0,0
