Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-04-22,01:00:00,0.66994,0.67014,0.66973,0.66994,0,0
2015-04-22,02:00:00,0.66994,0.67,0.66959,0.66979,0,0
2015-04-22,03:00:00,0.66979,0.67052,0.66979,0.67029,0,0
2015-04-22,04:00:00,0.6703,0.67038,0.66982,0.67007,0,0
2015-04-22,05:00:00,0.67007,0.67023,0.66946,0.66972,0,0
2015-04-22,06:00:00,0.6697,0.67003,0.6696,0.66976,0,0
2015-04-22,07:00:00,0.66976,0.66978,0.66911,0.66921,0,0
2015-04-22,08:00:00,0.66921,0.66942,0.66881,0.66936,0,0
2015-04-22,09:00:00,0.66932,0.66989,0.66875,0.66911,0,0
2015-04-22,10:00:00,0.66915,0.66917,0.66803,0.66854,0,0
2015-04-22,11:00:00,0.66855,0.66966,0.66604,0.66704,0,0
2015-04-22,12:00:00,0.66701,0.66703,0.66457,0.66501,0,0
2015-04-22,13:00:00,0.66501,0.66564,0.6647,0.66499,0,0
2015-04-22,14:00:00,0.66504,0.66506,0.66338,0.66396,0,0
2015-04-22,15:00:00,0.66395,0.66507,0.66315,0.66454,0,0
2015-04-22,16:00:00,0.66453,0.66534,0.66436,0.66495,0,0
2015-04-22,17:00:00,0.665,0.66615,0.66471,0.66505,0,0
2015-04-22,18:00:00,0.66508,0.66585,0.66467,0.66561,0,0
2015-04-22,19:00:00,0.66561,0.66601,0.66504,0.66545,0,0
2015-04-22,20:00:00,0.6655,0.6656,0.66462,0.66513,0,0
2015-04-22,21:00:00,0.66511,0.66511,0.66449,0.66464,0,0
2015-04-22,22:00:00,0.66465,0.66505,0.66462,0.6649,0,0
2015-04-22,23:00:00,0.66488,0.66527,0.6647,0.66503,0,0
2015-04-22,23:59:00,0.66504,0.66528,0.66489,0.66515,0,0
2015-04-23,01:00:00,0.66513,0.66531,0.6649,0.66505,0,0
2015-04-23,02:00:00,0.66504,0.6651,0.66491,0.66503,0,0
2015-04-23,03:00:00,0.66508,0.66585,0.66492,0.66542,0,0
2015-04-23,04:00:00,0.66542,0.66598,0.66523,0.66576,0,0
2015-04-23,05:00:00,0.66576,0.6661,0.66549,0.66588,0,0
2015-04-23,06:00:00,0.66587,0.66593,0.66525,0.66544,0,0
